wrto_facility,wrto_route,wrto_oper,wrto_seq_num,wrto_milstn,wrto_prod_unt_1,wrto_clct_lbr_dat,wrto_cst_dat_ent,wrto_mvou_req,wrto_mvin_req,wrto_redfn_prd,wrto_strt_wfr_trc,wrto_stop_wfr_trc,wrto_cst_da_ent_al,wrto_yld_dat_en_pl,wrto_msg_inout_flg,wrto_ml_inout_flg,wrto_alt_rt_alwd,wrto_opr_shrt_desc,wrto_loss_cd_tb,wrto_bonus_cd_tb,wrto_redo_cd_tb,wrto_rwrk_cd_tb,wrto_rwrk_rt,wrto_alt_rt_grp,wrto_prd_ut_2,wrto_prd_ut_3,wrto_spec_id,wrto_script_id,wrto_rwrk_ret_rt,wrto_rwrk_end_rt,wrto_rt_op_sts_1,wrto_rt_op_sts_2,wrto_rt_op_sts_3,wrto_mvou_prm_st,wrto_mvin_prm_st,wrto_rwrk_prm_st,wrto_scp_wip_ef_pt,wrto_pset_cpydwn,wrto_mch_id_valid,wrto_mch_id_gts_tb,wrto_opid_valid,wrto_opid_gts_tb,wrto_yield,wrto_yield_alt,wrto_que_cyc_tm,wrto_proc_cyc_tm,wrto_store_oper,wrto_rework_oper,wrto_mvin_hrs,wrto_mvin_min,wrto_mvou_hrs,wrto_mvou_min,wrto_mvin_aft_hr,wrto_mvin_aft_min,wrto_mvou_aft_hr,wrto_mvou_aft_min,wrto_labor_hours,wrto_mch_hr,wrto_material,wrto_subcontract,wrto_oh_lab_rate,wrto_oh_lb_cst_fct,wrto_oh_nm_unt,wrto_lbr_hr_alt,wrto_mch_hr_alt,wrto_matrl_alt,wrto_subcntrct_alt,wrto_oh_lb_rat_alt,wrto_oh_lb_cst_alt,wrto_oh_nm_uts_alt,wrto_rwrk_ret_opr,wrto_rwrk_end_opr,wrto_pl_yld,wrto_rwrk_fctr,wrto_prev_opr,wrto_next_opr,wrto_cal_ltqt_stid,wrto_cl_qtstovr_ex,wrto_scp_weff_pt_2,wrto_trans_scr,wrto_nonseq_blk,wrto_pam_trnrq_1,wrto_pam_trnrq_2,wrto_pam_trnrq_3,wrto_pam_trnrq_4,wrto_pam_trnrq_5,wrto_pam_trnrq_6,wrto_pam_trnrq_7,wrto_pam_trnrq_8,wrto_pam_trnrq_9,wrto_pam_trnrq_10,wrto_pam_trnac_id1,wrto_pam_trnac_id2,wrto_pam_trnac_id3,wrto_pam_trnac_id4,wrto_pam_trnac_id5,wrto_pam_trnac_id6,wrto_pam_trnac_id7,wrto_pam_trnac_id8,wrto_pam_trnac_id9,wrto_pam_trac_id10,wrto_lbr_hrs_ty,wrto_lbr_hr_ty_alt,wrto_mch_hr_ty,wrto_mch_hr_ty_alt,wrto_lnk_nxt_opr,wrto_opt_cond,wrto_proc_tm_cd,wrto_unt_per_tm,wrto_tm_per_un,wrto_pro_utovr_ex,wrto_uts_per_hr,wrto_hr_per_ut,
	ASSY  ,	BGA139    ,	2070,	11,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	D/A,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	PCS,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2061,	2080,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2080,	12,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	D/A CURE,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2070,	2150,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2150,	13,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	PLASMA,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2080,	2090,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2090,	14,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	POST D/A Q,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2150,	2200,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2200,	15,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	W/B,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2090,	2209,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2209,	16,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	BMP,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2200,	2210,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2210,	17,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	3IP,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	SYS-A41,	,	,	,	,	,	BGA139,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	2205,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	2210,	0,	1.0000,	0.000,	2209,	2250,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2250,	18,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	PLASMA,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2210,	2230,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2230,	19,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	M/D QUEUE,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2250,	2300,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2300,	20,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	M/D,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2230,	2320,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2320,	21,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	T/M,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2300,	2330,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2330,	22,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	PMC,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2320,	2405,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2405,	23,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	PLASMA,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2330,	2418,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2418,	24,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	WTC,	LOSS-CODE,	BONUS-CODE,	,	REWORK-FE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2405,	2410,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2410,	25,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	S/P,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2418,	2430,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
	ASSY  ,	BGA139    ,	2430,	26,	Y,	EA    ,	Y,	N,	Y,	N,	N,	N,	N,	N,	,	,	,	,	F/S,	LOSS-CODE,	BONUS-CODE,	,	REWORK-BE,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	NNN,	,	,	,	,	,	1.0000,	1.0000,	0.000,	0.000,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0.0000,	0,	0,	1.0000,	0.000,	2410,	2435,	,	,	,	0,	,	N,	N,	N,	N,	N,	N,	N,	N,	N,	N,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	N,	N,	,	0.000,	0.000,	,	0.000000000,	0.000000000,
