wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc,wrto_prod_unt_1
BGA247,2000,1,IQC,PCS
BGA247,2003,2,TPM,PCS
BGA247,2005,3,TAPING,PCS
BGA247,2010,4,LAPPING,PCS
BGA247,2020,5,A21 QUEUE,PCS
BGA247,2030,6,W/M,PCS
BGA247,2040,7,D/S,PCS
BGA247,2050,8,A31,EA
BGA247,2060,9,2IP,EA
BGA247,2061,10,UV,EA
BGA247,2070,11,D/A,EA
BGA247,2080,12,D/A CURE,EA
BGA247,2150,13,PLASMA,EA
BGA247,2090,14,POST D/A Q,EA
BGA247,2200,15,W/B,EA
BGA247,2205,16,A41,EA
BGA247,2210,17,3IP,EA
BGA247,2250,18,PLASMA,EA
BGA247,2230,19,M/D QUEUE,EA
BGA247,2300,20,M/D,EA
BGA247,6000,21,WTC2,EA
BGA247,2330,22,PMC,EA
BGA247,2320,23,T/M,EA
BGA247,2405,24,PLASMA,EA
BGA247,2410,25,S/P,EA
BGA247,2430,26,F/S,EA
BGA247,2440,27,O/S,EA
BGA247,2450,28,L/S,EA
BGA247,2460,29,F/V,EA
BGA247,2470,30,4IP,EA
BGA247,2480,31,PACK,EA
BGA247,2490,32,SHIP,EA
BGA254,2000,1,IQC,PCS
BGA254,2003,2,TPM,PCS
BGA254,2005,3,TAPING,PCS
BGA254,2010,4,LAPPING,PCS
BGA254,2020,5,A21 QUEUE,PCS
BGA254,2030,6,W/M,PCS
BGA254,2040,7,D/S,PCS
BGA254,2050,8,A31,EA
BGA254,2060,9,2IP,EA
BGA254,2061,10,UV,EA
BGA254,2070,11,D/A,EA
BGA254,2080,12,D/A CURE,EA
BGA254,2150,13,PLASMA,EA
BGA254,2090,14,POST D/A Q,EA
BGA254,2200,15,W/B,EA
BGA254,2210,16,3IP,EA
BGA254,2250,17,PLASMA,EA
BGA254,2230,18,M/D QUEUE,EA
BGA254,2300,19,M/D,EA
BGA254,2320,20,T/M,EA
BGA254,6000,21,WTC2,EA
BGA254,2330,22,PMC,EA
BGA254,2405,23,PLASMA,EA
BGA254,2418,24,WTC,EA
BGA254,2410,25,S/P,EA
BGA254,2430,26,F/S,EA
BGA254,2435,27,P/P,EA
BGA254,2440,28,O/S,EA
BGA254,2450,29,L/S,EA
BGA254,2460,30,F/V,EA
BGA254,2470,31,4IP,EA
BGA254,2480,32,PACK,EA
BGA254,2490,33,SHIP,EA
BGA28,2000,1,IQC,PCS
BGA28,2003,2,TPM,PCS
BGA28,2005,3,TAPING,PCS
BGA28,2010,4,LAPPING,PCS
BGA28,2020,5,A21 QUEUE,PCS
BGA28,2030,6,W/M,PCS
BGA28,2040,7,D/S,PCS
BGA28,2050,8,A31,EA
BGA28,2060,9,2IP,EA
BGA28,2061,10,UV,EA
BGA28,2070,11,D/A,EA
BGA28,2080,12,D/A CURE,EA
BGA28,2150,13,PLASMA,EA
BGA28,2090,14,POST D/A Q,EA
BGA28,2200,15,W/B,EA
BGA28,2205,16,A41,EA
BGA28,2210,17,3IP,EA
BGA28,2250,18,PLASMA,EA
BGA28,2230,19,M/D QUEUE,EA
BGA28,2300,20,M/D,EA
BGA28,2330,21,PMC,EA
BGA28,2320,22,T/M,EA
BGA28,2405,23,PLASMA,EA
BGA28,2410,24,S/P,EA
BGA28,2430,25,F/S,EA
BGA28,2440,26,O/S,EA
BGA28,2450,27,L/S,EA
BGA28,2460,28,F/V,EA
BGA28,2470,29,4IP,EA
BGA28,2480,30,PACK,EA
BGA28,2490,31,SHIP,EA
BGA327,2000,1,IQC,PCS
BGA327,2003,2,TPM,PCS
BGA327,2005,3,TAPING,PCS
BGA327,2010,4,LAPPING,PCS
BGA327,2020,5,A21 QUEUE,PCS
BGA327,2030,6,W/M,PCS
BGA327,2040,7,D/S,PCS
BGA327,2050,8,A31,EA
BGA327,2056,9,AOI,EA
BGA327,2059,10,AOIR,EA
BGA327,2060,11,2IP,EA
BGA327,2070,12,D/A,EA
BGA327,2080,13,D/A CURE,EA
BGA327,2150,14,PLASMA,EA
BGA327,2090,15,POST D/A Q,EA
BGA327,2200,16,W/B,EA
BGA327,2205,17,A41,EA
BGA327,2209,18,BMP,EA
BGA327,2210,19,3IP,EA
BGA327,2250,20,PLASMA,EA
BGA327,2230,21,M/D QUEUE,EA
BGA327,2300,22,M/D,EA
BGA327,2320,23,T/M,EA
BGA327,6000,24,WTC2,EA
BGA327,2330,25,PMC,EA
BGA327,2405,26,PLASMA,EA
BGA327,2410,27,S/P,EA
BGA327,2430,28,F/S,EA
BGA327,2435,29,P/P,EA
BGA327,2440,30,O/S,EA
BGA327,2450,31,L/S,EA
BGA327,2460,32,F/V,EA
BGA327,2470,33,4IP,EA
BGA327,2480,34,PACK,EA
BGA327,2490,35,SHIP,EA
BGA335,2000,1,IQC,PCS
BGA335,2003,2,TPM,PCS
BGA335,2005,3,TAPING,PCS
BGA335,2010,4,LAPPING,PCS
BGA335,2020,5,A21 QUEUE,PCS
BGA335,2030,6,W/M,PCS
BGA335,2040,7,D/S,PCS
BGA335,2050,8,A31,EA
BGA335,2056,9,AOI,EA
BGA335,2059,10,AOIR,EA
BGA335,2060,11,2IP,EA
BGA335,2070,12,D/A,EA
BGA335,2080,13,D/A CURE,EA
BGA335,2150,14,PLASMA,EA
BGA335,2090,15,POST D/A Q,EA
BGA335,2200,16,W/B,EA
BGA335,2210,17,3IP,EA
BGA335,2250,18,PLASMA,EA
BGA335,2230,19,M/D QUEUE,EA
BGA335,2300,20,M/D,EA
BGA335,2320,21,T/M,EA
BGA335,6000,22,WTC2,EA
BGA335,2330,23,PMC,EA
BGA335,2422,24,PCL,EA
BGA335,2410,25,S/P,EA
BGA335,2430,26,F/S,EA
BGA335,2435,27,P/P,EA
BGA335,4710,28,AOST,EA
BGA335,2450,29,L/S,EA
BGA335,2460,30,F/V,EA
BGA335,2470,31,4IP,EA
BGA335,2478,32,LAB,EA
BGA335,2472,33,PKC,EA
BGA335,2480,34,PACK,EA
BGA335,2490,35,SHIP,EA
BGA345,2000,1,IQC,PCS
BGA345,2003,2,TPM,PCS
BGA345,2005,3,TAPING,PCS
BGA345,2010,4,LAPPING,PCS
BGA345,2020,5,A21 QUEUE,PCS
BGA345,2030,6,W/M,PCS
BGA345,2040,7,D/S,PCS
BGA345,2050,8,A31,EA
BGA345,2060,9,2IP,EA
BGA345,2070,10,D/A,EA
BGA345,2080,11,D/A CURE,EA
BGA345,2150,12,PLASMA,EA
BGA345,2090,13,POST D/A Q,EA
BGA345,2200,14,W/B,EA
BGA345,2210,15,3IP,EA
BGA345,2250,16,PLASMA,EA
BGA345,2230,17,M/D QUEUE,EA
BGA345,2300,18,M/D,EA
BGA345,2320,19,T/M,EA
BGA345,6000,20,WTC2,EA
BGA345,2330,21,PMC,EA
BGA345,2405,22,PLASMA,EA
BGA345,2418,23,WTC,EA
BGA345,2410,24,S/P,EA
BGA345,2430,25,F/S,EA
BGA345,2435,26,P/P,EA
BGA345,2440,27,O/S,EA
BGA345,2450,28,L/S,EA
BGA345,2460,29,F/V,EA
BGA345,2470,30,4IP,EA
BGA345,2480,31,PACK,EA
BGA345,2490,32,SHIP,EA
BGA362,2000,1,IQC,PCS
BGA362,2003,2,TPM,PCS
BGA362,2005,3,TAPING,PCS
BGA362,2010,4,LAPPING,PCS
BGA362,2020,5,A21 QUEUE,PCS
BGA362,2030,6,W/M,PCS
BGA362,2040,7,D/S,PCS
BGA362,2050,8,A31,EA
BGA362,2060,9,2IP,EA
BGA362,2070,10,D/A,EA
BGA362,2080,11,D/A CURE,EA
BGA362,2150,12,PLASMA,EA
BGA362,2090,13,POST D/A Q,EA
BGA362,2200,14,W/B,EA
BGA362,2209,15,BMP,EA
BGA362,2210,16,3IP,EA
BGA362,2250,17,PLASMA,EA
BGA362,2230,18,M/D QUEUE,EA
BGA362,2300,19,M/D,EA
BGA362,2320,20,T/M,EA
BGA362,2330,21,PMC,EA
BGA362,2422,22,PCL,EA
BGA362,2410,23,S/P,EA
BGA362,2430,24,F/S,EA
BGA362,2435,25,P/P,EA
BGA362,4710,26,AOST,EA
BGA362,2450,27,L/S,EA
BGA362,2460,28,F/V,EA
BGA362,2470,29,4IP,EA
BGA362,2478,30,LAB,EA
BGA362,2472,31,PKC,EA
BGA362,2480,32,PACK,EA
BGA362,2490,33,SHIP,EA
BGA387,2000,1,IQC,PCS
BGA387,2003,2,TPM,PCS
BGA387,2005,3,TAPING,PCS
BGA387,2010,4,LAPPING,PCS
BGA387,2020,5,A21 QUEUE,PCS
BGA387,2030,6,W/M,PCS
BGA387,2040,7,D/S,PCS
BGA387,2050,8,A31,EA
BGA387,2060,9,2IP,EA
BGA387,2070,10,D/A,EA
BGA387,2080,11,D/A CURE,EA
BGA387,2150,12,PLASMA,EA
BGA387,2090,13,POST D/A Q,EA
BGA387,2200,14,W/B,EA
BGA387,2205,15,A41,EA
BGA387,2209,16,BMP,EA
BGA387,2210,17,3IP,EA
BGA387,2250,18,PLASMA,EA
BGA387,2230,19,M/D QUEUE,EA
BGA387,2300,20,M/D,EA
BGA387,2320,21,T/M,EA
BGA387,6000,22,WTC2,EA
BGA387,2330,23,PMC,EA
BGA387,2405,24,PLASMA,EA
BGA387,2410,25,S/P,EA
BGA387,2430,26,F/S,EA
BGA387,2435,27,P/P,EA
BGA387,2440,28,O/S,EA
BGA387,2450,29,L/S,EA
BGA387,2460,30,F/V,EA
BGA387,2470,31,4IP,EA
BGA387,2480,32,PACK,EA
BGA387,2490,33,SHIP,EA
BGA40,2000,1,IQC,PCS
BGA40,2003,2,TPM,PCS
BGA40,2005,3,TAPING,PCS
BGA40,2010,4,LAPPING,PCS
BGA40,2020,5,A21 QUEUE,PCS
BGA40,2030,6,W/M,PCS
BGA40,2040,7,D/S,PCS
BGA40,2050,8,A31,EA
BGA40,2060,9,2IP,EA
BGA40,2061,10,UV,EA
BGA40,2070,11,D/A,EA
BGA40,2080,12,D/A CURE,EA
BGA40,2150,13,PLASMA,EA
BGA40,2090,14,POST D/A Q,EA
BGA40,2200,15,W/B,EA
BGA40,2210,16,3IP,EA
BGA40,2250,17,PLASMA,EA
BGA40,2230,18,M/D QUEUE,EA
BGA40,2300,19,M/D,EA
BGA40,2320,20,T/M,EA
BGA40,6000,21,WTC2,EA
BGA40,2330,22,PMC,EA
BGA40,2405,23,PLASMA,EA
BGA40,2418,24,WTC,EA
BGA40,2410,25,S/P,EA
BGA40,2430,26,F/S,EA
BGA40,2440,27,O/S,EA
BGA40,2450,28,L/S,EA
BGA40,2460,29,F/V,EA
BGA40,2470,30,4IP,EA
BGA40,2480,31,PACK,EA
BGA40,2490,32,SHIP,EA
BGA402,2000,1,IQC,PCS
BGA402,2003,2,TPM,PCS
BGA402,2005,3,TAPING,PCS
BGA402,2010,4,LAPPING,PCS
BGA402,2020,5,A21 QUEUE,PCS
BGA402,2030,6,W/M,PCS
BGA402,2040,7,D/S,PCS
BGA402,2050,8,A31,EA
BGA402,2056,9,AOI,EA
BGA402,2059,10,AOIR,EA
BGA402,2060,11,2IP,EA
BGA402,2061,12,UV,EA
BGA402,2070,13,D/A,EA
BGA402,2080,14,D/A CURE,EA
BGA402,2150,15,PLASMA,EA
BGA402,2090,16,POST D/A Q,EA
BGA402,2200,17,W/B,EA
BGA402,2210,18,3IP,EA
BGA402,2250,19,PLASMA,EA
BGA402,2230,20,M/D QUEUE,EA
BGA402,2300,21,M/D,EA
BGA402,2320,22,T/M,EA
BGA402,6000,23,WTC2,EA
BGA402,2330,24,PMC,EA
BGA402,2405,25,PLASMA,EA
BGA402,2418,26,WTC,EA
BGA402,2410,27,S/P,EA
BGA402,2430,28,F/S,EA
BGA402,2440,29,O/S,EA
BGA402,2450,30,L/S,EA
BGA402,2460,31,F/V,EA
BGA402,2470,32,4IP,EA
BGA402,2480,33,PACK,EA
BGA402,2490,34,SHIP,EA
BGA403,2000,1,IQC,PCS
BGA403,2003,2,TPM,PCS
BGA403,2005,3,TAPING,PCS
BGA403,2010,4,LAPPING,PCS
BGA403,2020,5,A21 QUEUE,PCS
BGA403,2030,6,W/M,PCS
BGA403,2040,7,D/S,PCS
BGA403,2050,8,A31,EA
BGA403,2056,9,AOI,EA
BGA403,2059,10,AOIR,EA
BGA403,2060,11,2IP,EA
BGA403,2070,12,D/A,EA
BGA403,2080,13,D/A CURE,EA
BGA403,2150,14,PLASMA,EA
BGA403,2090,15,POST D/A Q,EA
BGA403,2200,16,W/B,EA
BGA403,2205,17,A41,EA
BGA403,2210,18,3IP,EA
BGA403,2250,19,PLASMA,EA
BGA403,2230,20,M/D QUEUE,EA
BGA403,2300,21,M/D,EA
BGA403,2320,22,T/M,EA
BGA403,6000,23,WTC2,EA
BGA403,2330,24,PMC,EA
BGA403,2405,25,PLASMA,EA
BGA403,2418,26,WTC,EA
BGA403,2410,27,S/P,EA
BGA403,2430,28,F/S,EA
BGA403,2435,29,P/P,EA
BGA403,2440,30,O/S,EA
BGA403,2450,31,L/S,EA
BGA403,2460,32,F/V,EA
BGA403,2470,33,4IP,EA
BGA403,2480,34,PACK,EA
BGA403,2490,35,SHIP,EA
BGA404,2000,1,IQC,PCS
BGA404,2003,2,TPM,PCS
BGA404,2005,3,TAPING,PCS
BGA404,2010,4,LAPPING,PCS
BGA404,2020,5,A21 QUEUE,PCS
BGA404,2030,6,W/M,PCS
BGA404,2040,7,D/S,PCS
BGA404,2050,8,A31,EA
BGA404,2056,9,AOI,EA
BGA404,2059,10,AOIR,EA
BGA404,2060,11,2IP,EA
BGA404,2061,12,UV,EA
BGA404,2070,13,D/A,EA
BGA404,2080,14,D/A CURE,EA
BGA404,2150,15,PLASMA,EA
BGA404,2090,16,POST D/A Q,EA
BGA404,2200,17,W/B,EA
BGA404,2210,18,3IP,EA
BGA404,2250,19,PLASMA,EA
BGA404,2230,20,M/D QUEUE,EA
BGA404,2300,21,M/D,EA
BGA404,2320,22,T/M,EA
BGA404,6000,23,WTC2,EA
BGA404,2330,24,PMC,EA
BGA404,2405,25,PLASMA,EA
BGA404,2418,26,WTC,EA
BGA404,2410,27,S/P,EA
BGA404,2430,28,F/S,EA
BGA404,2440,29,O/S,EA
BGA404,2450,30,L/S,EA
BGA404,2460,31,F/V,EA
BGA404,2470,32,4IP,EA
BGA404,2480,33,PACK,EA
BGA404,2490,34,SHIP,EA
BGA405,2000,1,IQC,PCS
BGA405,2003,2,TPM,PCS
BGA405,2005,3,TAPING,PCS
BGA405,2010,4,LAPPING,PCS
BGA405,2020,5,A21 QUEUE,PCS
BGA405,2030,6,W/M,PCS
BGA405,2040,7,D/S,PCS
BGA405,2050,8,A31,EA
BGA405,2056,9,AOI,EA
BGA405,2059,10,AOIR,EA
BGA405,2060,11,2IP,EA
BGA405,2061,12,UV,EA
BGA405,2070,13,D/A,EA
BGA405,2080,14,D/A CURE,EA
BGA405,2150,15,PLASMA,EA
BGA405,2090,16,POST D/A Q,EA
BGA405,2200,17,W/B,EA
BGA405,2210,18,3IP,EA
BGA405,2250,19,PLASMA,EA
BGA405,2230,20,M/D QUEUE,EA
BGA405,2300,21,M/D,EA
BGA405,2320,22,T/M,EA
BGA405,6000,23,WTC2,EA
BGA405,2330,24,PMC,EA
BGA405,2405,25,PLASMA,EA
BGA405,2418,26,WTC,EA
BGA405,2410,27,S/P,EA
BGA405,2430,28,F/S,EA
BGA405,2440,29,O/S,EA
BGA405,2450,30,L/S,EA
BGA405,2460,31,F/V,EA
BGA405,2470,32,4IP,EA
BGA405,2480,33,PACK,EA
BGA405,2490,34,SHIP,EA
BGA452,2000,1,IQC,PCS
BGA452,2003,2,TPM,PCS
BGA452,2005,3,TAPING,PCS
BGA452,2010,4,LAPPING,PCS
BGA452,2020,5,A21 QUEUE,PCS
BGA452,2030,6,W/M,PCS
BGA452,2040,7,D/S,PCS
BGA452,2050,8,A31,EA
BGA452,2060,9,2IP,EA
BGA452,2070,10,D/A,EA
BGA452,2080,11,D/A CURE,EA
BGA452,2150,12,PLASMA,EA
BGA452,2090,13,POST D/A Q,EA
BGA452,2200,14,W/B,EA
BGA452,2210,15,3IP,EA
BGA452,2250,16,PLASMA,EA
BGA452,2230,17,M/D QUEUE,EA
BGA452,2300,18,M/D,EA
BGA452,2320,19,T/M,EA
BGA452,6000,20,WTC2,EA
BGA452,2330,21,PMC,EA
BGA452,2405,22,PLASMA,EA
BGA452,2418,23,WTC,EA
BGA452,2410,24,S/P,EA
BGA452,2430,25,F/S,EA
BGA452,2435,26,P/P,EA
BGA452,2440,27,O/S,EA
