process_id,Oper,master_desc,detail_id,remark
0008WLAS001,2010,Entity Code,R20100698,Y
0008WPRT001,2010,Entity Code,R20100698,Y
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Lot Size,O20700198,8640
0008WS206,2010,Entity Code,R20100698,L
0008WS206,2040,Support Entity,S20400102,
0008WS206,2040,Support Entity,S20400102,
0008WS327,2070,Lot Size,O20700198,1900
0008WS327,2010,Entity Code,R20100698,M
0008WS327,2040,Support Entity,S20400199,Single
0008WS327,2040,Support Entity,S20400199,Single
0008WS329,2070,Lot Size,O20700198,720
0008WS329,2010,Entity Code,R20100698,L
0008WS329,2040,Support Entity,S20400199,Dual
0008WS329,2040,Support Entity,S20400199,Dual
0008WS353,2070,Lot Size,O20700198,1600
0008WS353,2010,Entity Code,R20100698,Y
0008WS353,2040,Support Entity,S20400102,
0008WS353,2040,Support Entity,S20400102,
0008WSA7,2070,Lot Size,O20700198,360
0008WSA7,2010,Entity Code,R20100698,L
0008WSA7,2040,Support Entity,S20400102,
0008WSA7,2040,Support Entity,S20400102,
0008WSMT001,2010,Entity Code,R20100698,Y
000IA003,2022,PTN No,O20220198,12
000IA003,2070,Lot Size,O20700198,999999
000IA003,2010,Entity Code,R20100698,C
000IA003,2040,Support Entity,S20400102,
000IA003,2040,Support Entity,S20400102,
000IA031,2070,Lot Size,O20700198,999999
000IA031,2010,Entity Code,R20100698,Y
000IA031,2040,Support Entity,S20400102,
000IA031,2040,Support Entity,S20400102,
000IA033,2070,Lot Size,O20700198,999999
000IA033,2010,Entity Code,R20100698,Y
000IA033,2040,Support Entity,S20400102,
000IA033,2040,Support Entity,S20400102,
000IA034,2070,Lot Size,O20700198,999999
000IA034,2010,Entity Code,R20100698,Y
000IA034,2040,Support Entity,S20400102,
000IA034,2040,Support Entity,S20400102,
000IA039,2070,Lot Size,O20700198,999999
000IA039,2010,Entity Code,R20100698,Y
000IA039,2040,Support Entity,S20400102,
000IA039,2040,Support Entity,S20400102,
000IA040,2070,Lot Size,O20700198,999999
000IA040,2010,Entity Code,R20100698,Y
000IA045,2070,Lot Size,O20700198,999999
000IA045,2010,Entity Code,R20100698,Y
000IA058,2070,Lot Size,O20700198,999999
000IA058,2010,Entity Code,R20100698,Y
000IA058,2040,Support Entity,S20400102,
000IA058,2040,Support Entity,S20400102,
000IA066,2022,PTN No,O20220198,12
000IA066,2070,Lot Size,O20700198,999999
000IA066,2010,Entity Code,R20100698,X
000IA068,2070,Lot Size,O20700198,999999
000IA068,2010,Entity Code,R20100698,Y
000IA068,2040,Support Entity,S20400102,
000IA068,2040,Support Entity,S20400102,
000IA081,2022,PTN No,O20220198,12
000IA081,2070,Lot Size,O20700198,999999
000IA081,2010,Entity Code,R20100698,V
000IA081,2040,Support Entity,S20400102,
000IA081,2040,Support Entity,S20400102,
000IA085,2070,Lot Size,O20700198,999999
000IA085,2010,Entity Code,R20100698,Y
000IA089,2070,Lot Size,O20700198,999999
000IA089,2010,Entity Code,R20100698,Y
000IA114,2070,Lot Size,O20700198,999999
000IA114,2010,Entity Code,R20100698,Y
000IA116,2070,Lot Size,O20700198,999999
000IA116,2010,Entity Code,R20100698,Y
000IA119,2022,PTN No,O20220198,12
000IA119,2070,Lot Size,O20700198,999999
000IA119,2010,Entity Code,R20100698,V
000IA119,2040,Support Entity,S20400102,
000IA119,2040,Support Entity,S20400102,
000IA125,2070,Lot Size,O20700198,999999
000IA125,2010,Entity Code,R20100698,Y
000IA125,2040,Support Entity,S20400102,
000IA125,2040,Support Entity,S20400102,
000IA138,2070,Lot Size,O20700198,999999
000IA138,2010,Entity Code,R20100698,Y
000IA138,2040,Support Entity,S20400102,
000IA138,2040,Support Entity,S20400102,
000IA143,2070,Lot Size,O20700198,999999
000IA143,2010,Entity Code,R20100698,Y
000IA146ENG,2070,Lot Size,O20700198,999999
000IA146ENG,2010,Entity Code,R20100698,Y
000IA146ENG,2040,Support Entity,S20400102,
000IA146ENG,2040,Support Entity,S20400102,
000IA147,2070,Lot Size,O20700198,999999
000IA147,2010,Entity Code,R20100698,Y
000IA149,2070,Lot Size,O20700198,999999
000IA149,2010,Entity Code,R20100698,Y
000IA149,2040,Support Entity,S20400102,
000IA149,2040,Support Entity,S20400102,
000IA162,2022,PTN No,O20220198,12
000IA162,2070,Lot Size,O20700198,999999
000IA162,2010,Entity Code,R20100698,X
000IA162,2040,Support Entity,S20400199,Dual
000IA162,2040,Support Entity,S20400199,Dual
000IA163,2022,PTN No,O20220198,12
000IA163,2070,Lot Size,O20700198,999999
000IA163,2010,Entity Code,R20100698,C
000IA163,2040,Support Entity,S20400102,
000IA163,2040,Support Entity,S20400102,
000IA171,2022,PTN No,O20220198,12
000IA171,2070,Lot Size,O20700198,999999
000IA171,2010,Entity Code,R20100698,X
000IA171,2040,Support Entity,S20400102,
000IA171,2040,Support Entity,S20400102,
000IA173,2070,Lot Size,O20700198,999999
000IA173,2010,Entity Code,R20100698,Y
000IA173,2040,Support Entity,S20400102,
000IA173,2040,Support Entity,S20400102,
000IA184,2022,PTN No,O20220198,12
000IA184,2070,Lot Size,O20700198,999999
000IA184,2010,Entity Code,R20100698,C
000IA184,2040,Support Entity,S20400102,
000IA184,2040,Support Entity,S20400102,
000IA190,2022,PTN No,O20220198,12
000IA190,2070,Lot Size,O20700198,999999
000IA190,2010,Entity Code,R20100698,C
000IA190,2040,Support Entity,S20400102,
000IA190,2040,Support Entity,S20400102,
000IA193,2070,Lot Size,O20700198,999999
000IA193,2010,Entity Code,R20100698,Y
000IA198,2070,Lot Size,O20700198,999999
000IA198,2010,Entity Code,R20100698,C
000IA198,2040,Support Entity,S20400102,
000IA198,2040,Support Entity,S20400102,
000IA203,2022,PTN No,O20220198,12
000IA203,2070,Lot Size,O20700198,999999
000IA203,2010,Entity Code,R20100698,C
000IA203,2040,Support Entity,S20400102,
000IA203,2040,Support Entity,S20400102,
000IA205,2070,Lot Size,O20700198,999999
000IA205,2010,Entity Code,R20100698,Y
000IA205,2040,Support Entity,S20400102,
000IA205,2040,Support Entity,S20400102,
000IA206,2070,Lot Size,O20700198,999999
000IA206,2010,Entity Code,R20100698,Y
000IA206,2040,Support Entity,S20400102,
000IA206,2040,Support Entity,S20400102,
000IA208,2070,Lot Size,O20700198,999999
000IA208,2010,Entity Code,R20100698,C
000IA208,2040,Support Entity,S20400199,Dual
000IA208,2040,Support Entity,S20400199,Dual
000IA220,2070,Lot Size,O20700198,999999
000IA220,2010,Entity Code,R20100698,Y
000IA220,2040,Support Entity,S20400102,
000IA220,2040,Support Entity,S20400102,
000IA232,2070,Lot Size,O20700198,999999
000IA232,2010,Entity Code,R20100698,Y
000IA235,2070,Lot Size,O20700198,999999
000IA235,2010,Entity Code,R20100698,Y
000IA235,2040,Support Entity,S20400102,
000IA235,2040,Support Entity,S20400102,
000IA236,2022,PTN No,O20220198,12
000IA236,2070,Lot Size,O20700198,999999
000IA236,2010,Entity Code,R20100698,C
000IA236,2040,Support Entity,S20400102,
000IA236,2040,Support Entity,S20400102,
000IA250,2022,PTN No,O20220198,12
000IA250,2070,Lot Size,O20700198,999999
000IA250,2010,Entity Code,R20100698,X
000IA250,2040,Support Entity,S20400102,
000IA250,2040,Support Entity,S20400102,
000IA258,2022,PTN No,O20220198,12
000IA258,2070,Lot Size,O20700198,999999
000IA258,2010,Entity Code,R20100698,X
000IA259,2070,Lot Size,O20700198,999999
000IA259,2010,Entity Code,R20100698,Y
000IA268,2022,PTN No,O20220198,12
000IA268,2070,Lot Size,O20700198,999999
000IA268,2010,Entity Code,R20100698,O
000IA268,2040,Support Entity,S20400102,
000IA268,2040,Support Entity,S20400102,
000IA281,2022,PTN No,O20220198,12
000IA281,2070,Lot Size,O20700198,999999
000IA281,2010,Entity Code,R20100698,C
000IA281,2040,Support Entity,S20400102,
000IA281,2040,Support Entity,S20400102,
000IA289,2022,PTN No,O20220198,12
000IA289,2070,Lot Size,O20700198,999999
000IA289,2010,Entity Code,R20100698,C
000IA289,2040,Support Entity,S20400102,
000IA289,2040,Support Entity,S20400102,
000IA298,2022,PTN No,O20220198,12
000IA298,2070,Lot Size,O20700198,999999
000IA298,2010,Entity Code,R20100698,N
000IA298,2040,Support Entity,S20400102,
000IA298,2040,Support Entity,S20400102,
000IA310,2070,Lot Size,O20700198,999999
000IA310,2010,Entity Code,R20100698,T
000IA312,2022,PTN No,O20220198,12
000IA312,2070,Lot Size,O20700198,999999
000IA312,2010,Entity Code,R20100698,C
000IA313,2070,Lot Size,O20700198,999999
000IA313,2010,Entity Code,R20100698,Y
000IA317,2070,Lot Size,O20700198,999999
000IA317,2010,Entity Code,R20100698,Y
000IA319,2022,PTN No,O20220198,12
000IA319,2070,Lot Size,O20700198,999999
000IA319,2010,Entity Code,R20100698,X
000IA325,2070,Lot Size,O20700198,999999
000IA325,2010,Entity Code,R20100698,Y
000IA325,2040,Support Entity,S20400102,
000IA325,2040,Support Entity,S20400102,
000IA333,2070,Lot Size,O20700198,999999
000IA333,2040,Support Entity,S20400102,
000IA333,2040,Support Entity,S20400102,
000IA358,2022,PTN No,O20220198,12
000IA358,2070,Lot Size,O20700198,999999
000IA358,2010,Entity Code,R20100698,C
000IAE07ENG,2022,PTN No,O20220198,12
000IAE07ENG,2070,Lot Size,O20700198,999999
000IAE07ENG,2010,Entity Code,R20100698,Y
000IAE07ENG,2040,Support Entity,S20400102,
000IAE07ENG,2040,Support Entity,S20400102,
000IAE22ENG,2070,Lot Size,O20700198,999999
000IAE22ENG,2010,Entity Code,R20100698,O
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2130,Entity,E21300199,DB-800; DB-700; DB-830
0086A038,2150,Entity,E21500199,MARCH_FAST
0086A038,2200,Entity (KNS),E22000298,Maxum Plus
0086A038,2250,Entity,E22500199,TEPLA
0086A038,2070,Lot Size,O20700198,1600
0086A038,2051,PTN No,R20510198,15
0086A038,2080,PTN No,R20800698,11
0086A038,2140,PTN no,R21400198,66
0086A038,2140,PTN no,R21400198,66
0086A038,2150,PTN no,R21500198,05
0086A038,2250,PTN no,R22500198,02
0086A038,2330,PTN no,R23300398,01
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2200,Support Entity,S22000102,
0086A038,2200,Support Entity,S22000103,FG085A-CD2911.5-06A
0086A054,2070,Entity,E20700199,ESEC-2100
0086A054,2070,Entity,E20700199,ESEC-2100
0086A054,2070,Entity,E20700199,ESEC-2100
0086A054,2130,Entity,E21300199,DB-800; DB-700; DB-830
0086A054,2200,Entity (KNS),E22000298,Maxum Plus
0086A054,2250,Entity,E22500199,Tepla
0086A054,2070,Lot Size,O20700198,3200
0086A054,2051,PTN No,R20510198,15
0086A054,2080,PTN No,R20800698,11
0086A054,2140,PTN no,R21400198,66
0086A054,2140,PTN no,R21400198,66
0086A054,2150,PTN no,R21500198,05
0086A054,2250,PTN no,R22500198,02
0086A054,2330,PTN no,R23300398,01
0086A054,2040,Support Entity,S20400102,
0086A054,2040,Support Entity,S20400102,
0086A054,2200,Support Entity,S22000102,
0086A054,2200,Support Entity,S22000103,SU-22061-263E12
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2130,Entity,E21300199,DB-800; DB-830
0086A076,2150,Entity,E21500199,MARCH_FAST
0086A076,2200,Entity (KNS),E22000298,Maxum Plus
0086A076,2250,Entity,E22500199,TEPLA
0086A076,2070,Lot Size,O20700198,1600
0086A076,2051,PTN No,R20510198,15
0086A076,2080,PTN No,R20800698,11
0086A076,2140,PTN no,R21400198,66
0086A076,2140,PTN no,R21400198,66
0086A076,2150,PTN no,R21500198,05
0086A076,2250,PTN no,R22500198,02
0086A076,2330,PTN no,R23300398,01
0086A076,2040,Support Entity,S20400102,
0086A076,2040,Support Entity,S20400102,
0086A076,2200,Support Entity,S22000102,
0086A076,2200,Support Entity,S22000103,SU-22061-263E12
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2130,Entity,E21300199,DB-800; DB-830
0086A081,2200,Entity (KNS),E22000298,Iconn
0086A081,2250,Entity,E22500199,Tepla-400/660
0086A081,2070,Lot Size,O20700198,1600
0086A081,2010,Entity Code,R20100698,Y
0086A081,2051,PTN No,R20510198,15
0086A081,2080,PTN No,R20800698,11
0086A081,2140,PTN no,R21400198,66
0086A081,2140,PTN no,R21400198,66
0086A081,2150,PTN no,R21500198,05
0086A081,2250,PTN no,R22500198,02
0086A081,2330,PTN no,R23300398,04
0086A081,2040,Support Entity,S20400102,
0086A081,2040,Support Entity,S20400102,
0086A081,2200,Support Entity,S22000102,
0086A081,2200,Support Entity,S22000103,SU-22061-263E12
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2130,Entity,E21300199,DB-800; DB-700
0086A101,2200,Entity (KNS),E22000298,Iconn
0086A101,2250,Entity,E22500199,E&R
0086A101,2070,Lot Size,O20700198,1600
0086A101,2010,Entity Code,R20100698,H
0086A101,2051,PTN No,R20510198,15
0086A101,2140,PTN no,R21400198,11
0086A101,2140,PTN no,R21400198,11
0086A101,2150,PTN no,R21500198,05
0086A101,2250,PTN no,R22500198,15
0086A101,2330,PTN no,R23300398,01
0086A101,2040,Support Entity,S20400102,
0086A101,2040,Support Entity,S20400102,
0086A101,2200,Support Entity,S22000102,
0086A101,2200,Support Entity,S22000103,SU-22061-263E12
0086A103,2070,Entity,E20700199,DB-700
0086A103,2070,Entity,E20700199,DB-700
0086A103,2070,Entity,E20700199,DB-700
0086A103,2130,Entity,E21300199,DB-700
0086A103,2200,Entity (KNS),E22000298,Iconn
0086A103,2250,Entity,E22500199,E&R
0086A103,2070,Lot Size,O20700198,1600
0086A103,2010,Entity Code,R20100698,H
0086A103,2051,PTN No,R20510198,15
0086A103,2140,PTN no,R21400198,11
0086A103,2140,PTN no,R21400198,11
0086A103,2150,PTN no,R21500198,05
0086A103,2250,PTN no,R22500198,15
0086A103,2330,PTN no,R23300398,01
0086A103,2040,Support Entity,S20400199,Dual
0086A103,2040,Support Entity,S20400199,Dual
0086A103,2200,Support Entity,S22000102,
0086A103,2200,Support Entity,S22000103,SU-22061-263E12
0086A104,2070,Entity,E20700199,DB-700
0086A104,2070,Entity,E20700199,DB-700
0086A104,2070,Entity,E20700199,DB-700
0086A104,2130,Entity,E21300199,DB-700
0086A104,2200,Entity (KNS),E22000298,Iconn
0086A104,2250,Entity,E22500199,E&R
0086A104,2070,Lot Size,O20700198,1600
0086A104,2010,Entity Code,R20100698,N
0086A104,2051,PTN No,R20510198,15
0086A104,2140,PTN no,R21400198,11
0086A104,2140,PTN no,R21400198,11
0086A104,2150,PTN no,R21500198,05
0086A104,2250,PTN no,R22500198,15
0086A104,2330,PTN no,R23300398,01
0086A104,2040,Support Entity,S20400199,Dual
0086A104,2040,Support Entity,S20400199,Dual
0086A104,2200,Support Entity,S22000102,
0086A104,2200,Support Entity,S22000103,SU-22061-263E12
0086A105,2070,Entity,E20700199,DB-700
0086A105,2070,Entity,E20700199,DB-700
0086A105,2070,Entity,E20700199,DB-700
0086A105,2130,Entity,E21300199,DB-700
0086A105,2200,Entity (KNS),E22000298,Iconn
0086A105,2250,Entity,E22500199,E&R
0086A105,2070,Lot Size,O20700198,1600
0086A105,2010,Entity Code,R20100698,O
0086A105,2051,PTN No,R20510198,15
0086A105,2140,PTN no,R21400198,11
0086A105,2140,PTN no,R21400198,11
0086A105,2150,PTN no,R21500198,05
0086A105,2250,PTN no,R22500198,15
0086A105,2330,PTN no,R23300398,01
0086A105,2040,Support Entity,S20400199,Dual
0086A105,2040,Support Entity,S20400199,Dual
0086A105,2200,Support Entity,S22000102,
0086A105,2200,Support Entity,S22000103,SU-22061-263E12
0086A106,2070,Entity,E20700199,DB-700
0086A106,2070,Entity,E20700199,DB-700
0086A106,2070,Entity,E20700199,DB-700
0086A106,2130,Entity,E21300199,DB-700
0086A106,2200,Entity (KNS),E22000298,Iconn
0086A106,2250,Entity,E22500199,E&R
0086A106,2070,Lot Size,O20700198,1600
0086A106,2010,Entity Code,R20100698,O
0086A106,2051,PTN No,R20510198,15
0086A106,2140,PTN no,R21400198,11
0086A106,2140,PTN no,R21400198,11
0086A106,2150,PTN no,R21500198,05
0086A106,2250,PTN no,R22500198,15
0086A106,2330,PTN no,R23300398,01
0086A106,2040,Support Entity,S20400199,Dual
0086A106,2040,Support Entity,S20400199,Dual
0086A106,2200,Support Entity,S22000102,
0086A106,2200,Support Entity,S22000103,SU-22061-263E12
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2130,Entity,E21300199,DB-700
0086A108,2200,Entity (KNS),E22000298,Ultra
0086A108,2250,Entity,E22500199,E&R
0086A108,2070,Lot Size,O20700198,1600
0086A108,2010,Entity Code,R20100698,O
0086A108,2051,PTN No,R20510198,15
0086A108,2140,PTN no,R21400198,11
0086A108,2140,PTN no,R21400198,11
0086A108,2150,PTN no,R21500198,05
0086A108,2250,PTN no,R22500198,15
0086A108,2330,PTN no,R23300398,01
0086A108,2040,Support Entity,S20400102,
0086A108,2040,Support Entity,S20400102,
0086A108,2200,Support Entity,S22000102,
0086A108,2200,Support Entity,S22000103,SU-22061-263E12
0086A109,2070,Entity,E20700199,DB-700
0086A109,2070,Entity,E20700199,DB-700
0086A109,2070,Entity,E20700199,DB-700
0086A109,2130,Entity,E21300199,DB-700
0086A109,2150,Entity,E21500199,MARCH_FAST
0086A109,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A109,2250,Entity,E22500199,E&R
0086A109,2070,Lot Size,O20700198,1600
0086A109,2010,Entity Code,R20100698,I
0086A109,2051,PTN No,R20510198,15
0086A109,2140,PTN no,R21400198,11
0086A109,2140,PTN no,R21400198,11
0086A109,2150,PTN no,R21500198,05
0086A109,2250,PTN no,R22500198,15
0086A109,2330,PTN no,R23300398,01
0086A109,2040,Support Entity,S20400102,
0086A109,2040,Support Entity,S20400102,
0086A109,2200,Support Entity,S22000102,
0086A109,2200,Support Entity,S22000103,SU-22061-263E12
0086A113,2070,Entity,E20700199,DB-700
0086A113,2070,Entity,E20700199,DB-700
0086A113,2070,Entity,E20700199,DB-700
0086A113,2130,Entity,E21300199,DB-700
0086A113,2150,Entity,E21500199,MARCH_FAST
0086A113,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A113,2250,Entity,E22500199,E&R
0086A113,2070,Lot Size,O20700198,1600
0086A113,2010,Entity Code,R20100698,O
0086A113,2051,PTN No,R20510198,15
0086A113,2140,PTN no,R21400198,11
0086A113,2140,PTN no,R21400198,11
0086A113,2150,PTN no,R21500198,05
0086A113,2250,PTN no,R22500198,15
0086A113,2330,PTN no,R23300398,01
0086A113,2040,Support Entity,S20400102,
0086A113,2040,Support Entity,S20400102,
0086A113,2200,Support Entity,S22000102,
0086A113,2200,Support Entity,S22000103,SU-22061-263E12
0086A115,2070,Entity,E20700199,DB-700
0086A115,2070,Entity,E20700199,DB-700
0086A115,2070,Entity,E20700199,DB-700
0086A115,2130,Entity,E21300199,DB-700
0086A115,2150,Entity,E21500199,MARCH_FAST
0086A115,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A115,2250,Entity,E22500199,E&R
0086A115,2070,Lot Size,O20700198,1600
0086A115,2010,Entity Code,R20100698,O
0086A115,2051,PTN No,R20510198,15
0086A115,2140,PTN no,R21400198,11
0086A115,2140,PTN no,R21400198,11
0086A115,2150,PTN no,R21500198,05
0086A115,2250,PTN no,R22500198,15
0086A115,2330,PTN no,R23300398,01
0086A115,2040,Support Entity,S20400102,
0086A115,2040,Support Entity,S20400102,
0086A115,2200,Support Entity,S22000102,
0086A115,2200,Support Entity,S22000103,SU-22061-263E12
0086A116,2070,Entity,E20700199,DB-700
0086A116,2070,Entity,E20700199,DB-700
0086A116,2070,Entity,E20700199,DB-700
0086A116,2130,Entity,E21300199,DB-700
0086A116,2150,Entity,E21500199,MARCH_FAST
0086A116,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A116,2250,Entity,E22500199,E&R
0086A116,2070,Lot Size,O20700198,1600
0086A116,2010,Entity Code,R20100698,O
0086A116,2051,PTN No,R20510198,15
0086A116,2140,PTN no,R21400198,11
0086A116,2140,PTN no,R21400198,11
0086A116,2150,PTN no,R21500198,05
0086A116,2250,PTN no,R22500198,15
0086A116,2330,PTN no,R23300398,01
0086A116,2040,Support Entity,S20400102,
0086A116,2040,Support Entity,S20400102,
0086A116,2200,Support Entity,S22000102,
0086A116,2200,Support Entity,S22000103,SU-22061-263E12
0086A118,2070,Entity,E20700199,DB-700
0086A118,2070,Entity,E20700199,DB-700
0086A118,2070,Entity,E20700199,DB-700
0086A118,2130,Entity,E21300199,DB-700
0086A118,2150,Entity,E21500199,MARCH_FAST
0086A118,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A118,2250,Entity,E22500199,E&R
0086A118,2070,Lot Size,O20700198,1600
0086A118,2010,Entity Code,R20100698,I
0086A118,2051,PTN No,R20510198,15
0086A118,2140,PTN no,R21400198,11
0086A118,2140,PTN no,R21400198,11
0086A118,2150,PTN no,R21500198,05
0086A118,2250,PTN no,R22500198,15
0086A118,2330,PTN no,R23300398,01
0086A118,2040,Support Entity,S20400102,
0086A118,2040,Support Entity,S20400102,
0086A118,2200,Support Entity,S22000102,
0086A118,2200,Support Entity,S22000103,SU-22061-263E12
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2130,Entity,E21300199,DB-700
0086A121,2150,Entity,E21500199,MARCH_FAST
0086A121,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A121,2250,Entity,E22500199,E&R
0086A121,2070,Lot Size,O20700198,1600
0086A121,2010,Entity Code,R20100698,N
0086A121,2051,PTN No,R20510198,15
0086A121,2140,PTN no,R21400198,11
0086A121,2140,PTN no,R21400198,11
0086A121,2150,PTN no,R21500198,05
0086A121,2250,PTN no,R22500198,15
0086A121,2330,PTN no,R23300398,01
0086A121,2040,Support Entity,S20400102,
0086A121,2040,Support Entity,S20400102,
0086A121,2200,Support Entity,S22000102,
